outer_fold,inner_fold,config_id,learning_rate,scheduler,image_size,fine_tuning,loss,architecture,initialization,train_patients,train_cme_positive_patients,train_cme_negative_patients,train_images,validation_patients,validation_cme_positive_patients,validation_cme_negative_patients,validation_images,accuracy,auroc,auprc,sensitivity,specificity,precision,recall,f1,threshold,tn,fp,fn,tp,best_epoch,seed
4,1,lr_1em04_sched_none_img_224_ft_layer4_fc_loss_focal_89249d0ccb,0.0001,none,224,layer4_fc,focal,resnet18,imagenet,70,29,41,125,24,11,13,41,0.7916666666666666,0.7622377622377622,0.8164085468898304,0.5454545454545454,1.0,1.0,0.5454545454545454,0.7058823529411765,0.3788944482803345,13,0,5,6,10,40142
4,2,lr_1em04_sched_none_img_224_ft_layer4_fc_loss_focal_89249d0ccb,0.0001,none,224,layer4_fc,focal,resnet18,imagenet,70,29,41,124,24,11,13,42,0.875,0.902097902097902,0.922328548644338,0.8181818181818182,0.9230769230769232,0.9,0.8181818181818182,0.8571428571428571,0.3643839657306671,12,1,2,9,18,40242
4,3,lr_1em04_sched_none_img_224_ft_layer4_fc_loss_focal_89249d0ccb,0.0001,none,224,layer4_fc,focal,resnet18,imagenet,71,33,38,126,23,7,16,40,0.8695652173913043,0.8839285714285714,0.876984126984127,0.8571428571428571,0.875,0.75,0.8571428571428571,0.8,0.5245502591133118,14,2,1,6,10,40342
4,4,lr_1em04_sched_none_img_224_ft_layer4_fc_loss_focal_89249d0ccb,0.0001,none,224,layer4_fc,focal,resnet18,imagenet,71,29,42,123,23,11,12,43,0.9130434782608696,0.946969696969697,0.9483011937557392,0.9090909090909092,0.9166666666666666,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.219653382897377,11,1,1,10,17,40442
4,1,lr_1em04_sched_none_img_224_ft_layer3_layer4_fc_loss_weighted_cross_entropy_024220f936,0.0001,none,224,layer3_layer4_fc,weighted_cross_entropy,resnet18,imagenet,70,29,41,125,24,11,13,41,0.7916666666666666,0.7902097902097902,0.8038239538239539,0.8181818181818182,0.7692307692307693,0.75,0.8181818181818182,0.782608695652174,0.2019030451774597,10,3,2,9,11,40142
4,2,lr_1em04_sched_none_img_224_ft_layer3_layer4_fc_loss_weighted_cross_entropy_024220f936,0.0001,none,224,layer3_layer4_fc,weighted_cross_entropy,resnet18,imagenet,70,29,41,124,24,11,13,42,0.7916666666666666,0.8321678321678322,0.8315508021390374,0.6363636363636364,0.9230769230769232,0.875,0.6363636363636364,0.7368421052631579,0.6169512867927551,12,1,4,7,4,40242
4,3,lr_1em04_sched_none_img_224_ft_layer3_layer4_fc_loss_weighted_cross_entropy_024220f936,0.0001,none,224,layer3_layer4_fc,weighted_cross_entropy,resnet18,imagenet,71,33,38,126,23,7,16,40,0.8695652173913043,0.8839285714285714,0.876984126984127,0.8571428571428571,0.875,0.75,0.8571428571428571,0.8,0.8927267789840698,14,2,1,6,11,40342
4,4,lr_1em04_sched_none_img_224_ft_layer3_layer4_fc_loss_weighted_cross_entropy_024220f936,0.0001,none,224,layer3_layer4_fc,weighted_cross_entropy,resnet18,imagenet,71,29,42,123,23,11,12,43,0.8695652173913043,0.8939393939393939,0.9266400266400268,0.8181818181818182,0.9166666666666666,0.9,0.8181818181818182,0.8571428571428571,0.1274138391017913,11,1,2,9,5,40442
4,1,lr_1em04_sched_none_img_224_ft_layer3_layer4_fc_loss_focal_7009f53a4e,0.0001,none,224,layer3_layer4_fc,focal,resnet18,imagenet,70,29,41,125,24,11,13,41,0.7083333333333334,0.7342657342657343,0.7594794094794095,0.8181818181818182,0.6153846153846154,0.6428571428571429,0.8181818181818182,0.72,0.252802163362503,8,5,2,9,30,40142
4,2,lr_1em04_sched_none_img_224_ft_layer3_layer4_fc_loss_focal_7009f53a4e,0.0001,none,224,layer3_layer4_fc,focal,resnet18,imagenet,70,29,41,124,24,11,13,42,0.9166666666666666,0.9090909090909092,0.944304707150557,0.9090909090909092,0.9230769230769232,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.2024824619293213,12,1,1,10,25,40242
4,3,lr_1em04_sched_none_img_224_ft_layer3_layer4_fc_loss_focal_7009f53a4e,0.0001,none,224,layer3_layer4_fc,focal,resnet18,imagenet,71,33,38,126,23,7,16,40,0.8260869565217391,0.9196428571428572,0.848051948051948,1.0,0.75,0.6363636363636364,1.0,0.7777777777777778,0.4076014161109924,12,4,0,7,6,40342
4,4,lr_1em04_sched_none_img_224_ft_layer3_layer4_fc_loss_focal_7009f53a4e,0.0001,none,224,layer3_layer4_fc,focal,resnet18,imagenet,71,29,42,123,23,11,12,43,0.8695652173913043,0.8409090909090908,0.8199790108881018,0.9090909090909092,0.8333333333333334,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.3636153638362884,10,2,1,10,4,40442
4,1,lr_1em04_sched_none_img_224_ft_full_loss_weighted_cross_entropy_1a9f8948b1,0.0001,none,224,full,weighted_cross_entropy,resnet18,imagenet,70,29,41,125,24,11,13,41,0.9583333333333334,0.9510489510489512,0.9254656959202414,1.0,0.9230769230769232,0.9166666666666666,1.0,0.9565217391304348,0.2436280399560928,12,1,0,11,28,40142
4,2,lr_1em04_sched_none_img_224_ft_full_loss_weighted_cross_entropy_1a9f8948b1,0.0001,none,224,full,weighted_cross_entropy,resnet18,imagenet,70,29,41,124,24,11,13,42,0.9166666666666666,0.951048951048951,0.9542355371900826,0.9090909090909092,0.9230769230769232,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.0651528686285018,12,1,1,10,26,40242
4,3,lr_1em04_sched_none_img_224_ft_full_loss_weighted_cross_entropy_1a9f8948b1,0.0001,none,224,full,weighted_cross_entropy,resnet18,imagenet,71,33,38,126,23,7,16,40,0.8695652173913043,0.8571428571428571,0.8332438238453275,0.8571428571428571,0.875,0.75,0.8571428571428571,0.8,0.5878771543502808,14,2,1,6,12,40342
4,4,lr_1em04_sched_none_img_224_ft_full_loss_weighted_cross_entropy_1a9f8948b1,0.0001,none,224,full,weighted_cross_entropy,resnet18,imagenet,71,29,42,123,23,11,12,43,0.9130434782608696,0.9545454545454546,0.9516705516705516,1.0,0.8333333333333334,0.8461538461538461,1.0,0.9166666666666666,0.1131372451782226,10,2,0,11,3,40442
4,1,lr_1em04_sched_none_img_224_ft_full_loss_focal_9957d5753e,0.0001,none,224,full,focal,resnet18,imagenet,70,29,41,125,24,11,13,41,0.7083333333333334,0.7412587412587412,0.7344877344877345,0.8181818181818182,0.6153846153846154,0.6428571428571429,0.8181818181818182,0.72,0.321961909532547,8,5,2,9,22,40142
4,2,lr_1em04_sched_none_img_224_ft_full_loss_focal_9957d5753e,0.0001,none,224,full,focal,resnet18,imagenet,70,29,41,124,24,11,13,42,0.875,0.8741258741258742,0.8992412815942228,0.7272727272727273,1.0,1.0,0.7272727272727273,0.8421052631578947,0.4086976647377014,13,0,3,8,17,40242
